,기준년월,시군명,20~29세,30~39세,40~49세,50~59세,60세 이상
249,2023-09,고양시,135648,143858,169922,197872,258219
250,2023-09,과천시,9654,12201,12600,13187,17777
251,2023-09,광명시,33360,36657,46497,48106,68380
252,2023-09,광주시,41899,52957,68638,67555,95257
253,2023-09,구리시,23451,24089,29991,34421,46972
254,2023-09,군포시,1106,3116,2384,1133,637
255,2023-09,김포시,49556,67599,94250,72096,103018
256,2023-09,남양주시,81832,85572,129144,126307,174654
257,2023-09,동두천시,9720,8889,12472,15999,29407
258,2023-09,부천시,100092,107888,119605,139511,205717
259,2023-09,성남시,117198,133107,147874,153645,221719
260,2023-09,수원시,176960,183165,196045,200499,241721
261,2023-09,시흥시,64821,75927,93373,91733,96688
262,2023-09,안산시,95201,83099,95502,125368,141432
263,2023-09,안성시,22319,21581,29393,32472,54319
264,2023-09,안양시,68911,78458,83035,94485,135394
265,2023-09,양주시,29290,33202,43554,44289,65380
266,2023-09,양평군,9904,10357,15931,21247,50109
267,2023-09,여주시,11313,11232,15568,20231,40196
268,2023-09,연천군,4587,3974,4367,6600,17221
269,2023-09,오산시,29177,35255,44538,35880,40942
270,2023-09,용인시,133228,133780,191214,180999,233074
271,2023-09,의왕시,2090,3385,3873,2917,3925
272,2023-09,의정부시,60291,60470,71594,81926,119286
273,2023-09,이천시,29362,30406,34664,36128,54251
274,2023-09,파주시,56937,69307,84385,81818,112292
275,2023-09,평택시,77408,91845,100868,96759,117008
276,2023-09,포천시,16217,13830,17617,27944,50854
277,2023-09,하남시,4623,5159,5504,6905,9302
278,2023-09,화성시,110749,154707,182671,135630,148406
279,2023-10,가평군,5685,5415,7438,10767,25662
280,2023-10,고양시,135320,143735,169470,197952,259116
281,2023-10,과천시,9582,12141,12554,13193,17774
282,2023-10,광명시,33293,36756,46453,48205,68540
283,2023-10,광주시,41787,52702,68587,67664,95646
284,2023-10,구리시,23387,24024,29914,34409,47085
285,2023-10,군포시,33725,36104,39688,46937,66217
286,2023-10,김포시,49531,67314,94295,72250,103421
287,2023-10,남양주시,81745,85310,128836,126493,175278
288,2023-10,동두천시,9706,8846,12383,16011,29425
289,2023-10,부천시,99555,107612,119216,139436,206082
290,2023-10,성남시,116834,133160,147663,153717,222374
291,2023-10,수원시,176741,183610,195927,200910,242656
292,2023-10,시흥시,64651,76137,93346,91872,97128
293,2023-10,안산시,94798,82811,95184,125289,141869
294,2023-10,안성시,22283,21522,29385,32519,54474
295,2023-10,안양시,68616,78310,82950,94464,135706
296,2023-10,양주시,29431,33543,43699,44629,65745
297,2023-10,양평군,9920,10447,16027,21282,50419
298,2023-10,여주시,11296,11269,15533,20267,40307
299,2023-10,연천군,4559,3945,4383,6580,17253
300,2023-10,오산시,29064,35153,44572,36033,41039
301,2023-10,용인시,133025,133465,190870,181450,233849
