출발지코드,도착지코드,종합 유입인구
용인시,안성시,5700.5325
용인시,안양시,4314.833333333333
용인시,양주시,571.9966666666667
용인시,양평군,1520.0691666666664
용인시,여주시,2505.5425
용인시,연천군,161.94083333333333
용인시,오산시,3087.53
용인시,용인시,942202.8999999999
용인시,의왕시,1740.5583333333334
용인시,의정부시,825.3766666666667
용인시,이천시,9625.005000000001
용인시,파주시,1083.2183333333335
용인시,평택시,5578.959166666667
용인시,포천시,756.5266666666666
용인시,하남시,2114.7575
용인시,화성시,23351.916666666668
의왕시,가평군,209.9275
의왕시,고양시,448.31166666666667
의왕시,과천시,2049.170833333333
의왕시,광명시,822.6175
의왕시,광주시,493.1425
의왕시,구리시,78.30416666666667
의왕시,군포시,10342.305833333334
의왕시,김포시,247.75833333333333
의왕시,남양주시,315.2716666666667
의왕시,동두천시,22.54416666666667
의왕시,부천시,458.7833333333333
의왕시,성남시,2879.646666666667
의왕시,수원시,5180.656666666667
의왕시,시흥시,1344.9841666666666
의왕시,안산시,2235.8941666666665
의왕시,안성시,295.87416666666667
의왕시,안양시,33091.49166666667
의왕시,양주시,92.9275
의왕시,양평군,214.7408333333333
의왕시,여주시,247.11
의왕시,연천군,33.190000000000005
의왕시,오산시,285.5808333333333
의왕시,용인시,1918.8533333333332
의왕시,의왕시,149326.22583333333
의왕시,의정부시,117.59416666666668
의왕시,이천시,375.70666666666665
의왕시,파주시,234.9025
의왕시,평택시,661.86
의왕시,포천시,133.38750000000002
의왕시,하남시,297.32916666666665
의왕시,화성시,3236.633333333333
의정부시,가평군,1166.2666666666667
의정부시,고양시,4291.12
의정부시,과천시,177.99749999999997
의정부시,광명시,249.38750000000002
의정부시,광주시,728.2399999999999
의정부시,구리시,1702.4825
의정부시,군포시,182.8083333333333
의정부시,김포시,918.8716666666666
의정부시,남양주시,8084.830000000001
의정부시,동두천시,3568.9499999999994
의정부시,부천시,720.0666666666666
의정부시,성남시,1432.3891666666668
의정부시,수원시,876.7525
의정부시,시흥시,451.6891666666666
의정부시,안산시,534.3741666666666
의정부시,안성시,240.20666666666668
의정부시,안양시,512.3108333333333
