년월,출발지코드,도착지코드,종합 유입인구
202003,경기도외,포천시,0.38999999999999996
202003,경기도외,여주시,3.67
202003,경기도외,연천군,0.38
202003,경기도외,가평군,0.28
202003,경기도외,양평군,5.390000000000001
202003,경기도외,수원시,221.01999999999998
202003,경기도외,성남시,284.23
202003,경기도외,의정부시,80.7
202003,경기도외,안양시,130.66
202003,경기도외,부천시,188.46
202003,경기도외,광명시,62.58
202003,경기도외,평택시,98.02999999999999
202003,경기도외,동두천시,6.499999999999999
202003,경기도외,안산시,112.56
202003,경기도외,고양시,299.6
202003,경기도외,과천시,10.959999999999999
202003,경기도외,구리시,37.61
202003,경기도외,남양주시,139.16000000000003
202003,경기도외,오산시,21.900000000000002
202003,경기도외,시흥시,110.1
202003,경기도외,군포시,69.24
202003,경기도외,의왕시,45.13999999999999
202003,경기도외,하남시,79.77000000000001
202003,경기도외,용인시,277.34
202003,경기도외,파주시,117.06
202003,경기도외,이천시,140.66000000000003
202003,경기도외,안성시,55.48999999999999
202003,경기도외,김포시,154.00000000000006
202003,경기도외,화성시,145.52
202003,경기도외,광명시,1.6600000000000004
202003,경기도외,평택시,23.369999999999997
202003,경기도외,안산시,7.3
202003,경기도외,고양시,12.629999999999999
202003,경기도외,과천시,0.38
202003,경기도외,구리시,2.07
202003,경기도외,남양주시,5.21
202003,경기도외,오산시,4.4799999999999995
202003,경기도외,시흥시,11.879999999999999
202003,경기도외,군포시,2.08
202003,경기도외,의왕시,1.1
202003,경기도외,하남시,3.08
202003,경기도외,용인시,13.939999999999998
202003,경기도외,파주시,2.86
202003,경기도외,이천시,5.44
202003,경기도외,안성시,9.19
202003,경기도외,김포시,5.499999999999999
202003,경기도외,화성시,15.15
202003,경기도외,광주시,7.98
202003,경기도외,양주시,9.19
202003,경기도외,포천시,2.59
202003,경기도외,여주시,3.4099999999999997
202003,경기도외,연천군,1.2200000000000002
202003,경기도외,가평군,1.8
202003,경기도외,양평군,0.61
202003,경기도외,수원시,25.460000000000004
202003,경기도외,성남시,13.440000000000001
202003,경기도외,의정부시,3.8000000000000003
202003,경기도외,안양시,7.159999999999999
202003,경기도외,부천시,10.930000000000001
202003,경기도외,광명시,3.5800000000000005
202003,경기도외,평택시,5.72
202003,경기도외,동두천시,3.29
202003,경기도외,안산시,10.669999999999998
202003,경기도외,고양시,19.11
202003,경기도외,과천시,0.64
202003,경기도외,구리시,1.46
202003,경기도외,남양주시,9.719999999999999
202003,경기도외,오산시,1.0300000000000002
202003,경기도외,시흥시,12.03
202003,경기도외,군포시,3.8200000000000003
202003,경기도외,의왕시,2.2199999999999998
202003,경기도외,하남시,10.69
202003,경기도외,용인시,20.130000000000003
202003,경기도외,파주시,8.540000000000001
202003,경기도외,이천시,4.07
202003,경기도외,안성시,8.41
202003,경기도외,김포시,6.98
202001,경기도외,하남시,26.86
202002,경기도외,안양시,33.870000000000005
202002,경기도외,광주시,6.35
202003,경기도외,용인시,263.85999999999996
202003,경기도외,화성시,11.829999999999998
202003,경기도외,광주시,3.34
202003,경기도외,양주시,0.47
202003,경기도외,포천시,2.09
202003,경기도외,여주시,2.0900000000000003
202003,경기도외,가평군,1.84
202003,경기도외,양평군,0.95
202003,경기도외,수원시,9.579999999999998
202003,경기도외,성남시,8.780000000000001
202003,경기도외,의정부시,4.35
202003,경기도외,안양시,4.87
202003,경기도외,부천시,8.07
202003,경기도외,광명시,0.8200000000000001
202003,경기도외,평택시,2.38
202003,경기도외,안성시,10.209999999999999
202003,경기도외,김포시,12.35
202003,경기도외,화성시,18.11
202003,경기도외,광주시,14.439999999999998
202003,경기도외,양주시,3.6699999999999995
202003,경기도외,포천시,2.62
202003,경기도외,여주시,9.46
202003,경기도외,연천군,0.03
202003,경기도외,가평군,2.47
202003,경기도외,양평군,9.689999999999998
202003,경기도외,수원시,20.659999999999997
202003,경기도외,성남시,18.1
202003,경기도외,의정부시,12.669999999999998
202003,경기도외,안양시,11.719999999999999
202003,경기도외,부천시,16.400000000000002
202003,경기도외,광명시,3.24
202003,경기도외,평택시,16.95
202003,경기도외,동두천시,0.45999999999999996
202003,경기도외,안산시,15.099999999999998
202003,경기도외,고양시,13.350000000000001
202003,경기도외,구리시,2.6799999999999997
202003,경기도외,남양주시,19.529999999999998
202003,경기도외,오산시,2.59
202003,경기도외,시흥시,9.08
202003,경기도외,군포시,2.31
202003,경기도외,의왕시,2.7600000000000002
202003,경기도외,하남시,5.920000000000001
202003,경기도외,용인시,23.6
202003,경기도외,파주시,6.68
202003,경기도외,이천시,11.739999999999998
202003,경기도외,안성시,6.930000000000001
202003,경기도외,김포시,5.280000000000001
