merchant,user_name,user_rank,num_response,user_star,time,rating,content
21세기 우리바다수산,냠냠이,33,329,3.4,2020.02.05.,5.0,(냠냠) 회 자체는 잘나옴
21세기 우리바다수산,삐약,30,123,3.0,2020.02.04.,5.0,친절하고 맛있는데?? 가성비 좋고 신선합니다
21세기 우리바다수산,맛다먹,33,350,3.7,2020.01.24.,3.0,방어먹었는데 위치나 맛을 고려했을때 가성비 괜찮다고 생각함 ㅜ서비스는 너무 바쁘셔서 정신이 하나도 없었다 그래서 딱히 친절 불친절을 나눌만한 껀덕지도 없었음다만 웨이팅이 매우긴점이 마이너스
21세기 우리바다수산,kwak s.h,12,17,3.6,2020.01.10.,1.0,이건 뭐  친절이라곤 일도 없음 .. 가지 마세요  . 돈 아까운 곳.
21세기 우리바다수산,이황의,4,11,4.5,2020.01.03.,4.0,
21세기 우리바다수산,l,22,302,3.8,2019.12.28.,3.0,맛있는데 1시간 넘게 기다렸어요
21세기 우리바다수산,baek1234,5,11,3.4,2019.12.01.,1.0,서빙/홀 매니징 최악 먼저온 사람 먼저 앉히셔야죠
21세기 우리바다수산,우진,2,1,1.0,2019.11.28.,1.0,한시간 웨이팅해서 드디어 자리나서 들어가려고 했더니6명 자리 안된다고 따로 앉으라는 소리나 하고 있네죄송하다는 말은 한마디 안하고 바쁜데 그걸 어떻게 체크하냐는 건 말이여 방구여장사 좀 잘되니까 눈에 뵈는게 없는듯
21세기 우리바다수산,이희중,2,1,1.0,2019.11.28.,1.0,많이불친절
21세기 우리바다수산,블블,68,949,4.1,2019.11.24.,4.0,방어 특대 두툼해서 넘 됴타웨이팅 한시간 ㅜㅜ
21세기 우리바다수산,여의도가는길,33,107,3.3,2019.11.24.,4.0,"방어+연어 중(2인) 50,000 / 회덮밥 10,0006시 도착했는데 1시간 반 웨이팅. 남자 1명 여자 2명이서 먹었는데 배불러서 매운탕 시키지도 못함ㅠ 회가 두껍고 신선하고 부드럽고 맛있음!!!!! 콘치즈, 계란찜, 백김치, 부추전이 밑반찬으로 나오는데 하나같이 다 맛있었음. 회덮밥도 양많고 괜찮았음. 웨이팅이 너무 길어서 다시 갈 수 있을까 싶지만 맛이나 양이나 밑반찬 보면 다시 갈 의향 100%"
21세기 우리바다수산,형,44,298,2.8,2018.05.03.,3.0,(3.3점)홍대 근처 횟집 중 괜찮게 하는 곳 중 하나.
21세기 우리바다수산,오경래,53,753,3.6,2017.03.13.,2.0,
38도씨식당,뀨,21,36,3.5,2024.03.28.,2.0,맛: 맛은 있는데... 이 가격은 아닌 거 같아요. 독보적인 맛은 아님. 양도 적음...가성비: 진짜 별로친절: 음 ㅋㅋ...... 그냥 그래요분위기: 매우 좋음. 데이트하기 좋아요주차: 별로재방문 의사: X
38도씨식당,까탈이,8,18,4.2,2024.01.30.,5.0,여태 먹어본 파스타집 중에 제일 맛나요 스테이크 강추 피자두 패스츄리라 미쳐유
38도씨식당,겨울,31,107,4.2,2023.11.21.,5.0,맛있지만 양이 적어요. 분위기 좋아요!
38도씨식당,ㅋㅆㅇ,37,695,3.8,2023.07.06.,5.0,
38도씨식당,젤리,30,147,3.8,2023.04.07.,5.0,
