merchant,total_rating
카츠미 홍대본점,-0.13085714285714284
카페 지금여기,-0.14550000000000005
카페공명 연남점,-0.11798076923076925
카페공명 홍대점,-0.09985294117647062
카페장쌤,0.2611409395973155
칸다소바 홍대점,0.3032857142857143
커피랩,0.5856321839080461
코노미 홍대점,-0.3689583333333333
코키펍 홍대점,-0.8707142857142857
콜린,-0.0673
큐브이스케이프 홍대점,-0.675
클럽에반스,0.5594736842105263
키쉬미뇽,-0.6271014492753624
키즈나,0.3893103448275862
탐탐오향족발,0.4883720930232558
테이스티버거,-0.26917910447761195
토라비,0.12043478260869568
토모토카레 홍대점,0.4120481927710844
티엔미미 홍대점,-0.6513513513513514
퍼셉션 (Perception),0.3573417721518988
페더,0.845
퐁포네뜨 홍대점,0.3455932203389831
