기준년월,요일구분,출발 시간대,출발지_시군구코드,출발지_시도명,출발지_시군구명,출발지_중심_X좌표,출발지_중심_Y좌표,이동수단 구분,성별,연령별(10세),인구 수
202401,목,13,41463,경기도,용인시 기흥구,966424,1918787,5,M,7,6.73
202401,화,14,41111,경기도,수원시 장안구,955994,1924011,3,M,9,285.68
202401,목,10,41271,경기도,안산시 상록구,944176,1924186,3,W,9,400.68
202401,월,19,41461,경기도,용인시 처인구,978070,1911643,0,W,4,4106.54
202401,월,5,41173,경기도,안양시 동안구,951796,1933620,1,W,4,217.05
202401,월,3,41115,경기도,수원시 팔달구,957104,1919945,1,M,6,98.41
202401,목,15,41173,경기도,안양시 동안구,951796,1933620,3,W,2,3482.79
202401,수,9,41117,경기도,수원시 영통구,960690,1919671,7,M,2,423.71
202401,월,6,41113,경기도,수원시 권선구,953861,1918083,1,W,4,811.4
202401,일,0,41465,경기도,용인시 수지구,962048,1926137,3,M,4,654.43
202401,화,17,41271,경기도,안산시 상록구,944176,1924186,2,M,2,135.52
202401,화,16,41111,경기도,수원시 장안구,955994,1924011,1,W,4,1779.66
202401,금,15,41196,경기도,부천시 오정구,937564,1947819,2,M,9,32.72
202401,월,1,41194,경기도,부천시 소사구,937850,1941972,7,W,2,11.4
202401,토,6,41173,경기도,안양시 동안구,951796,1933620,3,W,9,159.96
202401,토,8,41390,경기도,시흥시,935643,1931618,5,M,3,30.12
202401,월,7,41117,경기도,수원시 영통구,960690,1919671,2,W,5,1561.64
202401,월,8,41590,경기도,화성시,942172,1908000,1,M,6,5995.48
202401,토,18,41194,경기도,부천시 소사구,937850,1941972,1,W,1,81.06
202401,월,7,41115,경기도,수원시 팔달구,957104,1919945,5,M,3,156.54
202401,토,21,41115,경기도,수원시 팔달구,957104,1919945,1,M,5,930.08
202401,토,8,41590,경기도,화성시,942172,1908000,0,W,1,721
202401,일,19,41463,경기도,용인시 기흥구,966424,1918787,7,W,3,558.71
202401,일,9,41271,경기도,안산시 상록구,944176,1924186,4,M,4,5.99
202401,화,17,41173,경기도,안양시 동안구,951796,1933620,3,W,10,42.18
202401,목,8,41196,경기도,부천시 오정구,937564,1947819,2,W,2,45.49
202401,토,13,41171,경기도,안양시 만안구,947900,1934052,3,W,6,2292.96
202401,일,21,41465,경기도,용인시 수지구,962048,1926137,1,M,8,74.39
202401,목,1,41590,경기도,화성시,942172,1908000,3,M,1,185.5
202401,화,3,41650,경기도,포천시,978069,1996673,7,W,3,10.28
202401,토,11,41390,경기도,시흥시,935643,1931618,5,M,3,20.29
202401,목,12,41465,경기도,용인시 수지구,962048,1926137,2,M,5,321.03
202401,월,11,41461,경기도,용인시 처인구,978070,1911643,5,W,7,14.99
202401,수,17,41194,경기도,부천시 소사구,937850,1941972,5,M,6,7.81
202401,목,11,41650,경기도,포천시,978069,1996673,3,M,7,907.64
202401,수,16,41390,경기도,시흥시,935643,1931618,5,W,4,15.66
202401,금,5,41650,경기도,포천시,978069,1996673,3,M,5,412.05
202401,일,7,41390,경기도,시흥시,935643,1931618,1,W,4,218.44
202401,금,12,41196,경기도,부천시 오정구,937564,1947819,0,W,2,265.11
202401,토,11,41273,경기도,안산시 단원구,925133,1918594,4,M,7,3.5
202401,화,10,41461,경기도,용인시 처인구,978070,1911643,3,M,3,1458.03
202401,화,20,41196,경기도,부천시 오정구,937564,1947819,3,M,5,1097.33
202401,일,16,41192,경기도,부천시 원미구,936267,1944735,0,M,8,832.66
202401,일,0,41113,경기도,수원시 권선구,953861,1918083,7,M,4,126.02
202401,토,8,41194,경기도,부천시 소사구,937850,1941972,2,W,5,663.01
202401,월,12,41271,경기도,안산시 상록구,944176,1924186,2,M,10,3.13
202401,수,14,41117,경기도,수원시 영통구,960690,1919671,1,M,2,1159.16
202401,일,6,41465,경기도,용인시 수지구,962048,1926137,3,M,9,229.67
202401,월,17,41271,경기도,안산시 상록구,944176,1924186,3,W,4,1860.55
202401,금,1,41194,경기도,부천시 소사구,937850,1941972,0,W,4,113.24
202401,월,8,41111,경기도,수원시 장안구,955994,1924011,1,M,3,1834.03
202401,일,20,41173,경기도,안양시 동안구,951796,1933620,5,M,4,11.83
202401,수,15,41461,경기도,용인시 처인구,978070,1911643,3,W,5,1786.24
202401,목,3,41115,경기도,수원시 팔달구,957104,1919945,7,W,2,26.87
202401,토,16,41171,경기도,안양시 만안구,947900,1934052,0,M,6,3086.63
202401,금,10,41210,경기도,광명시,943809,1938625,4,M,3,4.41
202401,화,8,41273,경기도,안산시 단원구,925133,1918594,1,W,2,528.6
202401,토,10,41461,경기도,용인시 처인구,978070,1911643,4,M,5,13.05
202401,일,14,41196,경기도,부천시 오정구,937564,1947819,0,M,4,1542.83
202401,화,8,41463,경기도,용인시 기흥구,966424,1918787,2,M,7,851.79
202401,일,5,41210,경기도,광명시,943809,1938625,3,W,1,52.5
202401,화,12,41171,경기도,안양시 만안구,947900,1934052,7,M,7,386.56
202401,화,13,41390,경기도,시흥시,935643,1931618,3,W,7,3599.01
202401,월,10,41461,경기도,용인시 처인구,978070,1911643,0,M,4,5008.96
202401,수,20,41390,경기도,시흥시,935643,1931618,7,M,5,1031.74
202401,목,23,41650,경기도,포천시,978069,1996673,3,M,9,15.21
202401,금,8,41463,경기도,용인시 기흥구,966424,1918787,2,M,2,315.05
202401,토,19,41115,경기도,수원시 팔달구,957104,1919945,0,W,5,2234.01
202401,토,13,41273,경기도,안산시 단원구,925133,1918594,0,W,5,5734.51
202401,토,8,41450,경기도,하남시,974018,1947095,3,W,6,2502.03
202401,수,2,41465,경기도,용인시 수지구,962048,1926137,3,M,4,850.35
202401,토,6,41461,경기도,용인시 처인구,978070,1911643,4,M,4,11.04
202401,일,3,41461,경기도,용인시 처인구,978070,1911643,7,W,7,17.9
202401,목,0,41390,경기도,시흥시,935643,1931618,2,M,7,3.24
202401,일,23,41173,경기도,안양시 동안구,951796,1933620,1,M,2,35.58
202401,화,3,41111,경기도,수원시 장안구,955994,1924011,7,W,5,24.49
202401,목,6,41650,경기도,포천시,978069,1996673,2,W,3,35.3
202401,화,10,41590,경기도,화성시,942172,1908000,5,M,2,51.42
202401,화,0,41271,경기도,안산시 상록구,944176,1924186,2,M,6,14.82
202401,토,19,41194,경기도,부천시 소사구,937850,1941972,3,M,7,1727.17
202401,화,11,41273,경기도,안산시 단원구,925133,1918594,7,M,9,55.95
202401,월,15,41113,경기도,수원시 권선구,953861,1918083,3,W,7,3746.44
202401,목,0,41210,경기도,광명시,943809,1938625,0,W,4,77.11
202401,토,9,41115,경기도,수원시 팔달구,957104,1919945,2,M,9,51.46
202401,토,20,41113,경기도,수원시 권선구,953861,1918083,2,W,5,105.03
202401,수,13,41117,경기도,수원시 영통구,960690,1919671,1,M,4,2284.86
