순번,행정구역 표준코드,구분,광역 이름,기초 이름,경도,위도,발행명,활성지수,전년 대비 2023년 발행액 증감,활성 순위,비활성 순위 (역순),이용자 제공혜택 개요,올해 대비 2024년 사업 예산 계획,최초 발행 시작일,최종 발행 중지/종료일,발행 유형,이용자 제공혜택 기간,이용자 제공혜택 대상,운영사,"2023년 연중 1인당 월 최대 구매/충전액 (만 원, 10월 기준)","2023년 연중 최대 할인/적립률 (%, 10월 기준)","2023년 발행액 (억 원, 1년간)","2023년 누적 이용자 수 (명, 10월 기준)","2023년 가맹점 수 (곳, 10월 기준)",더 알아보기 URL,비고
172,4521000000,기초,전라북도,김제시,126.8808375,35.8035917,김제사랑상품권,1.00,축소,62,123,1인당 월 최대 70만 원까지 구매 금액의 10% 할인 또는 적립,축소,2000-11-30,발행 중,"지류,모바일,카드",연중,보편,나이스정보통신,70,10,920,"89,795","3,914",https://www.gimje.go.kr/index.gimje?menuCd=DOM_000000106001001000,"2019년은 전산화 20.07.이전으로 사용자 수, 가맹점 수 확인불가"
173,4571000000,기초,전라북도,완주군,127.162019,35.904708,완주사랑상품권,0.52,축소,167,18,1인당 월 최대 30만 원까지 구매 금액의 10% 할인 또는 적립,유지,2015-05-01,발행 중,"지류,카드",-,-,농협,30,0,160,"15,577","3,113",https://www.wanju.go.kr/index.wanju?menuCd=DOM_000000104003009001,-
174,4572000000,기초,전라북도,진안군,127.424875,35.7917621,진안고원 행복상품권,1.27,확대,16,169,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,유지,2019-01-31,발행 중,진안고원행복지류,연중,보편,한국조폐공사,50,10,150,"11,218",762,https://www.jinan.go.kr/index.jinan?menuCd=DOM_000000109002009001,-
175,4573000000,기초,전라북도,무주군,127.660818,36.00681,무주사랑상품권,0.89,축소,93,92,1인당 월 최대 70만 원까지 구매 금액의 10% 할인 또는 적립,축소,2019-07-01,발행 중,"지류, 카드, 모바일",연중,보편,나이스정보통신,70,10,400,"21,522","1,254",https://www.muju.go.kr/index.9is?contentUid=ff8080816c5f9d47016cbd99e9360343,-
176,4574000000,기초,전라북도,장수군,127.5215208,35.647366,장수사랑상품권,0.47,축소,175,10,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,축소,2005-07-01,발행 중,"지류, 카드",연중,보편,한국조폐공사,50,10,200,"1,095,750","1,080",장수군 분야별정보 > 산업경제 > 장수사랑상품권 > 상품권안내 (jangsu.go.kr),-
177,4575000000,기초,전라북도,임실군,127.2890774,35.6178286,임실사랑상품권,0.60,축소,159,26,1인당 월 최대 30만 원까지 구매 금액의 10% 할인 또는 적립,축소,2012-07-01,발행 중,"지류, 카드, 모바일",연중,보편,한국조폐공사,30,10,200,"16,795","1,144",https://www.imsil.go.kr/index.imsil?menuCd=DOM_000000104002010000,-
178,4577000000,기초,전라북도,순창군,127.137489,35.374476,순창사랑상품권,1.36,확대,12,173,1인당 월 최대 70만 원까지 구매 금액의 10% 할인 또는 적립,유지,2019-08-01,발행 중,"종이,모바일,카드",연중,보편,조폐공사,70,10,300,"13,926","1,118",https://www.sunchang.go.kr/index.sunchang?menuCd=DOM_000000105002008000,"대행사 변경으로 인한 정확한 가입자 수 집계 불가, 사용자 수는 집계가능한 모바일 상품권 사용자 수로 산정 →2019년도는 종이상품권만 발행"
179,4579000000,기초,전라북도,고창군,126.701973,35.435836,고창사랑상품권,1.57,확대,6,179,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,축소,2019-07-01,발행 중,고향사랑페이,연중,보편,나이스정보통신,50,10,865,"48,775","2,900",http://www.gochang.go.kr/index.gochang?menuCd=DOM_000000104003001011&cpath=,-
180,4580000000,기초,전라북도,부안군,126.733199,35.731755,부안사랑상품권,0.87,축소,96,89,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,유지,2019-07-01,발행 중,카드,연중,보편,나이스정보통신,50,0,320,"42,241","2,746",https://www.buan.go.kr/index.buan?menuCd=DOM_000000104003007003,-
181,4611000000,기초,전라남도,목포시,126.3923375,34.811875,목포사랑상품권,1.33,확대,13,171,1인당 월 최대 70만 원까지 구매 금액의 10% 할인 또는 적립,축소,2019-09-01,발행 중,"지류, 카드, 모바일",연중,보편,"한국조폐공사, 광주은행",70,10,800,"1,319,385","8,518",https://www.mokpo.go.kr/www/industry_economy/voucher/voucher,연 매출 30억 이상 가맹점 조정 여부
182,4613000000,기초,전라남도,여수시,127.662313,34.760425,"여수사랑상품권/
섬섬여수페이",0.43,축소,176,9,"카드는 1인당 월 최대 50만 원까지 구매 금액의 10%,지류는 1인당 월 최대 50만 원까지 구매금액의 6% 할인 또는 적립",확대,2000-04-01,발행 중,"지류, 카드",연중,보편,한국조폐공사,50,10,700,"80,235","8,467",https://www.yeosu.go.kr/www/sphere/industry/consumer/voucher,"2019~21년 상품권 시스템 이전으로 확인 불가, 평시 6%, 명절 10% 특별할인, 추진('23. 8. ~카드형 상시 10% 할인 추진)"
183,4615000000,기초,전라남도,순천시,127.487243,34.9506984,순천사랑상품권,1.05,확대,50,135,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,축소,2018-04-01,발행 중,"지류, 모바일, 카드",연중,선별,한국조폐공사,50,10,"1,520","1,234,141","13,713",https://www.suncheon.go.kr/kr/life/0001/0001/0002/,이용자수 1백만 명 이상? 확인 필요
184,4617000000,기초,전라남도,나주시,126.710814,35.015814,나주사랑상품권,0.61,축소,157,28,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,축소,2007-02-01,발행 중,"지류,모바일,카드",연중,보편,한국조폐공사,50,10,800,"62,184","5,138",https://www.naju.go.kr/www/field_info/economy/gift,"2019년은 9월부터 사용자통계(집계) 시작으로, 실 사용자 수 파악이 어려움"
185,4623000000,기초,전라남도,광양시,127.6958987,34.9406575,광양사랑상품권,0.48,축소,171,14,1인당 월 최대 150만 원까지 구매 금액의 10% 할인 또는 적립,확대,2022-08-19,발행 중,지류,연중,보편,한국조폐공사,150,10,600,"34,777","6,522",https://gwangyang.go.kr/board.es?mid=a11206140000&bid=0115,2019~2020년 카드 상품권 누적 이용자 확인불가
186,4671000000,기초,전라남도,담양군,126.988175,35.321175,담양사랑상품권,0.37,축소,177,8,1인당 월 최대 50만 원까지 구매 금액의 10% 할인 또는 적립,축소,2020-08-17,발행 중,"지류,모바일,카드",연중,보편,"한국조폐공사. 
한국간편결제진흥원(제로페이)",50,10,190,"21,758","1,478",https://atmo74.tistory.com/611,카드+모바일 21.7.~ 협약
187,4672000000,기초,전라남도,곡성군,127.2919779,35.2820169,곡성심청상품권,1.12,확대,30,155,1인당 월 최대 70만 원까지 구매 금액의 10% 할인 또는 적립,축소,2001-09-01,발행 중,"지류, 모바일",연중,보편,"한국조폐공사, 한국간편결제진흥원",70,10,300,"8,246","1,221",https://www.gokseong.go.kr/kr/subPage.do?menuNo=103009006001,"카드형 없음, 지류형 - 이용자 수 추출 불가"
