광역시도명,시군구명,기준년월,업종대분류,업종중분류,업종소분류,신규가맹점수,폐업가맹점수,매출가맹점수,카드매출금액,카드매출건수,점당매출금액,건당매출금액
경기,김포시,202012,음식,한식,기사식당,0,0,3,1498000,74,499333,20243
경기,김포시,202012,음식,한식,단품요리 전문,67,26,1831,2873233000,122378,1569215,23478
경기,김포시,202012,음식,한식,도시락,0,1,11,28684000,1439,2607654,19933
경기,김포시,202012,음식,한식,야식,0,0,2,535000,21,267450,25471
경기,김포시,202012,음식,한식,출장부페,0,0,1,10696000,488,10695800,21918
경기,김포시,202012,일반유통,가구,가구,6,1,75,328491000,722,4379881,454974
경기,김포시,202012,일반유통,각종기기판매/서비스,사무용기기,0,0,7,2656000,12,379457,221350
경기,김포시,202012,일반유통,각종기기판매/서비스,자동판매기,2,0,11,4096000,1350,372394,3034
경기,김포시,202012,일반유통,각종기기판매/서비스,컴퓨터/주변기기,2,3,110,53775000,498,488866,107982
경기,김포시,202012,일반유통,각종기기판매/서비스,통신관련서비스,0,0,1,814000,8,814000,101750
경기,김포시,202012,일반유통,각종기기판매/서비스,휴대폰,1,0,8,538000,21,67250,25619
경기,김포시,202012,음식,한식,구내식당/푸드코트,0,0,6,27287000,3643,4547909,7490
경기,김포시,202012,일반유통,건설/건축,건축용자재/용품,13,1,435,955903000,49339,2197479,19374
경기,김포시,202012,음식,유흥주점,룸살롱/단란주점,0,0,1,300000,2,300000,150000
경기,김포시,202012,음식,양식,양식,1,0,46,68410000,1767,1487184,38716
경기,김포시,202012,음식,간식,샌드위치/토스트,1,1,20,49308000,5692,2465386,8663
경기,김포시,202012,음식,간식,아이스크림/빙수,3,2,48,123566000,11342,2574288,10895
경기,김포시,202012,음식,건강식품,건강식품,1,3,57,160898000,2953,2822774,54486
경기,김포시,202012,음식,건강식품,건강원,0,1,9,1325000,17,147222,77941
경기,김포시,202012,음식,농축수산물,곡물/사료,0,0,4,2589000,50,647288,51783
경기,김포시,202012,음식,농축수산물,농산물,10,2,179,287686000,9706,1607182,29640
경기,김포시,202012,음식,농축수산물,수산물,0,0,26,78868000,1786,3033381,44159
경기,김포시,202012,음식,농축수산물,유제품,0,1,2,1702000,3,850975,567317
경기,김포시,202012,음식,농축수산물,청과물,1,0,33,63118000,2877,1912673,21939
경기,김포시,202012,음식,양식,패밀리 레스토랑,0,0,4,74842000,1044,18710565,71688
경기,김포시,202012,음식,농축수산물,축산물,2,3,18,69538000,1719,3863216,40453
경기,김포시,202012,음식,식품,농협-마트,0,0,8,729886000,25379,91235804,28759
경기,김포시,202012,음식,식품,담배,0,0,10,23629000,462,2362880,51145
경기,김포시,202012,음식,식품,미곡상,2,0,29,102806000,953,3545042,107876
경기,김포시,202012,음식,식품,반찬,0,0,18,31702000,2123,1761205,14932
경기,김포시,202012,음식,식품,식료품,15,9,404,1036115000,40823,2564641,25381
경기,김포시,202012,음식,식품,식자재,0,0,8,472958000,14826,59119717,31901
경기,김포시,202012,음식,식품제조,식품 제조,0,0,30,23737000,1587,791246,14957
경기,김포시,202012,음식,아시아음식,동남아/인도음식,0,0,15,18022000,898,1201490,20069
